((0, 5), (1, 5), (1, 4), (1, 3))
((0, 5), (0, 4), (0, 3), (1, 3))
((0, 5), (0, 4), (2, 4), (0, 2))
((2, 6), (2, 5), (2, 4), (0, 2))
((4, 6), (0, 4), (1, 4), (1, 3))
((3, 6), (3, 5), (0, 3), (0, 2))
((4, 6), (0, 4), (0, 3), (1, 3))
((0, 5), (2, 5), (2, 4), (0, 2))
((0, 5), (0, 4), (0, 3), (0, 2))
((4, 6), (0, 4), (2, 4), (0, 2))
((0, 5), (3, 5), (0, 3), (1, 3))
((4, 6), (0, 4), (0, 3), (0, 2))
((0, 5), (3, 5), (0, 3), (0, 2))
((1, 6), (1, 5), (1, 4), (1, 3))
((3, 6), (3, 5), (0, 3), (1, 3))
((0, 5), (0, 4), (1, 4), (1, 3))
